"","Estimate","Std. Error","t value","Pr(>|t|)","PAdj"
"AW016203",8.91612958616162e-05,0.000231252075887346,0.385558899393624,0.699868386342636,0.879557151840694
"LOC647946",-0.000865566382466193,0.000415226424732592,-2.08456478419846,0.0372477870861473,0.221541146135035
"PPAT",-0.00149821196133904,0.000792939781868629,-1.88943977285183,0.0589915701433475,0.27990719061173
"BX106897",-0.000115119340894075,0.000231315277798402,-0.497672881747158,0.618774681273878,0.836018968609483
"LOC644083",-0.000274065272995841,0.000234053267501487,-1.17095256101947,0.241770963727636,0.553530880381959
"METAP1",0.000297070588974632,0.000780863163206043,0.380438728541028,0.703664117155324,0.881406765027292
"ZNF558",-0.000952994417303219,0.000703464172614945,-1.35471635145356,0.175675900529999,0.473704807360298
"PRRT3",-0.000655982162539589,0.00155861190514383,-0.420875883454165,0.673895354287293,0.867163858756548
"USP19",0.000235791197322074,0.000345031137048992,0.6833910682345,0.494446654622671,0.764030183945107
"MBNL3",-0.00140351922580953,0.000813587983765642,-1.72509827310063,0.0846793393737349,0.332013860315233
"DDX4",-0.000437913647895632,0.000230003560064182,-1.90394291189855,0.0570750187966421,0.27611754179801
"RGS12",0.00109424542730628,0.000811013044472152,1.34923283264632,0.177429829862769,0.475496608541251
"BC037321",0.000850405563739912,0.000303703384994974,2.80011881907073,0.00516226966187976,0.0816845370913546
"AK023536",0.000401850108516637,0.000620759087388234,0.64735276000126,0.51748521412276,0.777501677825125
"GYG2",0.00357002201395466,0.00139326713749339,2.56233849050472,0.0104767529164118,0.117108951865652
"SMPD4",0.000460110415481925,0.000359599716900131,1.27950716827096,0.200881425575289,0.506632020121988
"AW592845",-0.000323677873820116,0.000289157902817638,-1.11938103944628,0.263125160366195,0.576189244051352
"AK095498",0.000330112396587708,0.000267219665196103,1.23535966690719,0.21685594239097,0.525900739142491
"IWS1",-0.000165398235772693,0.00049471390634455,-0.334331082372079,0.738168217001639,0.89857835167053
"MAS1",7.36352387251225e-05,0.000343785105641662,0.214189729330144,0.830423072288478,0.937839748967122
"BCORL1",0.00171671285298998,0.000626374548084741,2.74071297794452,0.0061904546554337,0.0899516988930283
"PANX2",-0.000847660807636749,0.0015392682808019,-0.550690752358744,0.581913196865538,0.815367763855985
"YBX2",0.00230753006048073,0.00131654843507869,1.75271186307916,0.0798196605315777,0.322472333629636
"BC040219",0.000175930273644737,0.00026048199771849,0.675402811655602,0.499505584712274,0.766640643523502
"TBR1",0.000463243305162034,0.000242889093334865,1.90722151744941,0.056649020368995,0.27520401282928
"MRAP",0.00105162047111784,0.00115773843607235,0.908340293758822,0.363818587690623,0.665633593540843
"SLC46A1",0.000583083878413539,0.000581629250989168,1.00250095300726,0.316234824939676,0.625796895583845
"NSUN5P1",0.00070777590886263,0.000816864528245409,0.866454454060949,0.386355076919706,0.683225459986679
"AF086288",-0.00054543689570042,0.000250090738181231,-2.18095599887895,0.0293141692184055,0.196952608912956
